author,papers_count
"Andrew Ng, Michael Jordan",2
Ofer Dekel,2
"Feng Liu, Xiaoming Liu",2
"Yi Li, Philip Long",2
"Zhenyu Zhu, Fanghui Liu, Grigorios Chrysos, Volkan Cevher",2
"Piyush Rai, Hal Daume",2
Ayan Chakrabarti,2
"Vinayak Rao, Yee Teh",2
"Cameron Musco, Christopher Musco",2
"Han Liu, Xi Chen",2
Ilya Shpitser,2
"Justin Domke, Daniel R. Sheldon",2
"Yali Wan, Marina Meila",2
Nathan Kallus,2
"Zoubin Ghahramani, Matthew Beal",2
Stephan Pareigis,2
"Yi Xu, Rong Jin, Tianbao Yang",2
"Pan Zhou, Xiaotong Yuan, Jiashi Feng",2
"Yipei Wang, Xiaoqian Wang",2
"M. Fard, Joelle Pineau",2
"Gal Vardi, Ohad Shamir, Nati Srebro",2
