author,papers_count
Tong Zhang,9
Terence Sanger,6
Shumeet Baluja,5
Sebastian Thrun,5
Wolfgang Maass,5
Francis Bach,5
Liam Paninski,5
Peter Dayan,5
John Platt,4
Joshua Tenenbaum,4
"Zeyuan Allen-Zhu, Yuanzhi Li",4
Tom Heskes,4
"Elad Hazan, Satyen Kale",4
Hagai Attias,4
"Phil Long, Rocco Servedio",4
Timothy Brown,4
"Manfred Opper, Ole Winther",4
"Kevin Bello, Jean Honorio",4
"Nathan Kallus, Angela Zhou",4
"Clayton Scott, Robert Nowak",4
"Francis Bach, Michael Jordan",4
Peter Sollich,4
Matthias Seeger,4
Sumio Watanabe,4
Shinji Ito,4
David Cohn,4
"Dörthe Malzahn, Manfred Opper",4
"Nicol Schraudolph, Terrence J. Sejnowski",4
"Nuno Vasconcelos, Andrew Lippman",4
Bartlett Mel,4
Justin Domke,4
"Eric Chang, Richard P. Lippmann",4
"Sheng Chen, Arindam Banerjee",4
Geoffrey J. Gordon,4
"Ahmed M. Alaa, Mihaela van der Schaar",4
